"day","fault","tc","ctc","cov","ccov"
1,0,68,68,0.0272,0.0272
2,1,225,293,0.09,0.1172
3,0,190,483,0.0917,0.2089
4,5,309,792,0.1109,0.3198
5,0,28,820,0.0522,0.372
6,0,6,826,0.0464,0.4184
7,2,102,928,0.0272,0.4456
8,1,100,1028,0.0385,0.4841
9,1,78,1106,0.0636,0.5477
10,0,104,1210,0.0479,0.5956
11,6,140,1350,0.0453,0.6409
12,4,126,1476,0.0208,0.6617
13,0,58,1534,0.0336,0.6953
14,0,31,1565,0.0479,0.7432
15,0,25,1590,0.0371,0.7803
16,6,120,1710,0.0116,0.7919
17,3,133,1843,0.0175,0.8094
18,3,60,1903,0.0223,0.8317
19,4,50,1953,0.0308,0.8625
20,2,54,2007,0.0031,0.8656
21,6,66,2073,0.0195,0.8851
22,2,63,2136,0.0091,0.8942
23,0,9,2145,0.0143,0.9085
24,6,44,2189,0.0122,0.9207
25,1,26,2215,0.0078,0.9285
26,2,42,2257,0.0056,0.9341
27,0,20,2277,0.0052,0.9393
28,1,38,2315,0.0015,0.9408
29,1,4,2319,0.0035,0.9443
30,1,5,2324,0.0016,0.9459
31,0,9,2333,4e-04,0.9463
32,0,18,2351,3e-04,0.9466
33,0,9,2360,0,0.9466
